NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
1400,1,0,0,32014.2911796,16,7,0
1400,1,0,0,32014.2911796,16,7,0
1400,1,0,0,32014.2911796,16,7,0
1400,1,0,0,32021.4415573,16,7,0
1400,1,0,0,32021.4415573,16,7,0
1400,1,0,0,32021.4415573,16,7,0
1400,1,0,0,32021.4415573,16,7,0
1400,1,0,0,32021.4415573,16,7,0
1400,1,0,0,32021.4415573,16,7,0
1400,1,0,0,32028.5951297,16,7,0
1400,1,0,0,32028.5951297,16,7,0
1400,1,0,0,32028.5951297,16,7,0
1400,1,0,0,32028.5951297,16,7,0
1981,0.9192575406,174,0.0807424594,45290.1087523,8,7,0
2704,0.9615931721,108,0.0384068279,61833.3166783,8,7,0
2808,0.9880365939,34,0.0119634061,64197.1859548,8,7,0
2800,1,0,0,64057.1902595,8,7,0
2699,1,0,0,64050.5151866,8,7,0
2610,1,0,0,59710.452349,8,7,0
1390,1,0,0,32319.7337784,8,7,0
2236,1,0,0,51119.9814084,8,7,0
1955,1,0,0,44705.6708972,8,7,0
2250,1,0,0,51451.5393958,8,7,0
2559,1,0,0,61948.374418,8,7,0
2072,0.9980732177,4,0.0019267823,47381.1509458,8,7,0
2753,0.9779751332,62,0.0220248668,62967.8775765,8,7,0
2541,0.9683689024,83,0.0316310976,58118.9164264,8,7,0
2134,0.9409171076,134,0.0590828924,53809.7708609,8,7,0
1662,0.7982708934,420,0.2017291066,38014.0256201,2,7,0
2157,0.8015607581,534,0.1984392419,51450.4089735,2,7,0
3437,0.3103105814,7639,0.6896894186,78577.5385066,2,7,0
3231,0.3095124054,7208,0.6904875946,73867.9158903,2,7,0
2482,0.3134629957,5436,0.6865370043,56744.0938532,2,7,0
3031,0.3068124304,6848,0.6931875696,71186.7973504,2,7,0
2000,0.2980625931,4710,0.7019374069,50368.9906331,2,7,0
2000,0.3017046312,4629,0.6982953688,51704.1092746,2,7,0
2947,0.3008370764,6849,0.6991629236,67375.0381085,2,7,0
1818,0.2858490566,4542,0.7141509434,41563.5627015,2,7,0
